PRIMERPERIODO,T,ESTATUSALUMNO,TITULACION,PRV,PRM,PAA,CatPAA,PREPA,CatPrepa,LocalForanea,CIUDADPREPA,ESTADOPREPA,CodEstado,PROMPRE,CatPromPre,BECA,CREDITO,CATFIN,PROMSEM1,EDADING,CatEdad,SEXO,IdSexo,E,ECR2
2006,9,Baja,Pendiente,800,800,1600,2,SISTEMA EDUCATIVO NACIONAL *10336,1,1,GUADALAJARA,JALISCO,15,74,1,0,0,1,6.50,20.01,2,M,1,1,1
2006,15,Baja,Pendiente,523,523,1046,1,AMERICA * 69887,2,2,ZAMORA DE HIDALGO,MICHOACAN,16,71,1,0,0,1,7.25,19.77,2,M,1,0,0
2006,7,Baja,Pendiente,624,770,1394,2,COLEGIO ALEMAN DE GUADALAJARA *10064,2,1,ZAPOPAN,JALISCO,15,82,2,0,0,1,7.00,19.52,2,M,1,1,1
2006,1,Cambio de plan,Pendiente,603,655,1258,2,JOSE SIXTO VERDUZCO *10107,2,2,ZAMORA,MICHOACAN,16,78,1,0,0,1,9.14,19.07,2,M,1,1,2
2006,1,Cambio de plan,Pendiente,647,581,1228,2,COLEGIO MEXICO NUEVO *9693,2,1,ZAPOPAN,JALISCO,15,69,1,0,0,1,8.86,20.03,2,M,1,1,2
2006,10,Egresado,Titulado,624,632,1256,2,PREPARATORIA ANAHUAC EXTENSION GARIBALDI *10212,2,1,GUADALAJARA,JALISCO,15,82,2,20,40,2,9.00,18.13,1,M,1,0,3
2006,19,Baja,Pendiente,640,632,1272,2,CENTRO DE ENSEÑANZA TECNICA INDUSTRIAL *10147,1,1,GUADALAJARA,JALISCO,15,74,1,20,30,2,7.83,20.05,2,M,1,0,0
2006,20,Baja,Pendiente,617,657,1274,2,I.T.E.S.M. CAMPUS GUADALAJARA *10072,2,1,GUADALAJARA,JALISCO,15,86,2,0,0,1,8.57,17.78,1,M,1,0,0
2006,13,Egresado,Titulado,594,688,1282,2,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE * 36541,2,1,TLAQUEPAQUE,JALISCO,15,81,2,20,40,2,8.88,20.29,2,M,1,0,0
2006,10,Egresado,Titulado,0,0,0,3,INSTITUTO DE CIENCIAS *10059,2,1,GUADALAJARA,JALISCO,15,91,3,0,0,1,9.00,19.97,2,M,1,0,3
2006,10,Egresado,Titulado,673,786,1459,2,I.T.E.S.M. CAMPUS GUADALAJARA *10072,2,1,GUADALAJARA,JALISCO,15,91,3,0,0,1,9.25,20.19,2,M,1,0,3
2006,4,Cambio de plan,Pendiente,632,641,1273,2,PREPARATORIA LA SALLE *10197,2,1,GUADALAJARA,JALISCO,15,76,1,40,35,2,8.86,19.79,2,M,1,1,2
2006,10,Egresado,Titulado,430,623,1053,1,COLEGIO ALTAMIRA *9684,2,1,ZAPOPAN,JALISCO,15,82,2,0,0,1,8.50,18.27,1,M,1,0,3
2006,9,Baja,Pendiente,0,0,0,3,COLEGIO GUADALAJARA SEP * 65541,2,1,ZAPOPAN,JALISCO,15,86,2,10,0,2,7.13,18.37,1,F,2,1,1
2006,9,Egresado,Titulado,0,0,0,3,PREPARATORIA ANAHUAC EXTENSION GARIBALDI *10212,2,1,GUADALAJARA,JALISCO,15,98,3,0,0,1,9.75,17.93,1,M,1,0,3
2006,10,Egresado,Titulado,0,0,0,3,COLEGIO CERVANTES *10067,2,1,GUADALAJARA,JALISCO,15,90,3,30,30,2,9.75,18.19,1,M,1,0,3
2006,10,Egresado,Titulado,0,0,0,3,COLEGIO GUADALAJARA SEP * 65541,2,1,ZAPOPAN,JALISCO,15,85,2,0,40,2,9.13,18.39,1,M,1,0,3
2006,7,Egresado,Titulado,0,0,0,3,UNIVERSIDAD DE GUADALAJARA ESCUELA PREPARATORIA NO. 7 *10220,1,1,GUADALAJARA,JALISCO,15,90,3,50,35,2,8.50,18.67,1,M,1,0,3
2006,10,Egresado,Titulado,674,745,1419,2,COLEGIO ANAHUAC *10081,2,1,ZAPOPAN,JALISCO,15,82,2,20,40,2,8.88,18.63,1,M,1,0,3
2006,10,Egresado,Titulado,0,0,0,3,COLEGIO ANAHUAC *10081,2,1,ZAPOPAN,JALISCO,15,85,2,0,40,2,9.00,17.98,1,M,1,0,3
2006,10,Egresado,Titulado,0,0,0,3,COLEGIO ANAHUAC *10081,2,1,ZAPOPAN,JALISCO,15,87,2,30,35,2,9.13,18.09,1,M,1,0,3
2006,10,Egresado,Titulado,640,695,1335,2,COLEGIO ANAHUAC *10081,2,1,ZAPOPAN,JALISCO,15,80,2,0,30,2,9.13,17.81,1,M,1,0,3
2006,9,Egresado,Titulado,0,0,0,3,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE * 36541,2,1,TLAQUEPAQUE,JALISCO,15,94,3,50,0,2,9.25,18.76,1,F,2,0,3
2006,10,Egresado,Titulado,741,695,1436,2,I.T.E.S.M. CAMPUS GUADALAJARA *10072,2,1,GUADALAJARA,JALISCO,15,88,2,0,40,2,8.75,19.47,2,M,1,0,3
2006,10,Egresado,Titulado,0,0,0,3,INSTITUTO CULTURAL TAMPICO *9957,2,2,TAMPICO,TAMAULIPAS,28,87,2,40,35,2,9.63,18.83,1,M,1,0,3
2006,11,Egresado,Titulado,649,686,1335,2,AMERICAN SCHOOL *9577,2,1,GUADALAJARA,JALISCO,15,75,1,0,0,1,8.25,19.16,2,M,1,0,3
2006,9,Egresado,Titulado,624,745,1369,2,I.T.E.S.M. CAMPUS GUADALAJARA *10072,2,1,GUADALAJARA,JALISCO,15,89,2,0,0,1,9.38,18.47,1,M,1,0,3
2006,9,Egresado,Titulado,531,632,1163,1,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO 19 *10380,1,2,SAYULA,JALISCO,15,89,2,10,0,2,8.63,18.64,1,M,1,0,3
2006,14,Egresado,Titulado,556,587,1143,1,ESCUELA PREPARATORIA REGIONAL DE AUTLAN *10306,1,2,AUTLAN DE NAVARRO,JALISCO,15,94,3,20,40,2,8.25,18.07,1,M,1,0,0
2006,10,Egresado,Titulado,540,496,1036,1,COLEGIO GUADALAJARA SEP * 65541,2,1,ZAPOPAN,JALISCO,15,80,2,0,0,1,7.75,17.77,1,M,1,0,3
2006,15,Baja,Pendiente,0,0,0,3,CENTRO DE ENSEÑANZA TECNICA INDUSTRIAL *10147,1,1,GUADALAJARA,JALISCO,15,85,2,50,35,2,8.00,19.19,2,M,1,0,0
2006,14,Egresado,Titulado,0,0,0,3,CENTRO DE ENSEÑANZA TECNICA INDUSTRIAL *10147,1,1,GUADALAJARA,JALISCO,15,86,2,40,30,2,9.38,18.89,1,M,1,0,0
2006,9,Egresado,Titulado,649,745,1394,2,CENTRO DE ENSEÑANZA TECNICA INDUSTRIAL *10147,1,1,GUADALAJARA,JALISCO,15,84,2,35,35,2,9.25,18.95,2,M,1,0,3
2006,7,Egresado,Titulado,582,770,1352,2,CENTRO DE ENSEÑANZA TECNICA INDUSTRIAL *10147,1,1,GUADALAJARA,JALISCO,15,81,2,50,35,2,8.75,19.36,2,M,1,0,3
2006,7,Baja,Pendiente,582,632,1214,1,COLEGIO DE BACHILLERES DEL ESTADO DE BAJA CALIFORNIA SUR PLANTEL 04 CABO SAN LUCAS * 65541,1,2,LA PAZ,BAJA CALIFORNIA SUR,3,80,2,30,35,2,8.00,18.28,1,M,1,1,1
2006,9,Egresado,Titulado,607,668,1275,2,I.T.E.S.M. CAMPUS GUADALAJARA *10072,2,1,GUADALAJARA,JALISCO,15,85,2,0,0,1,9.25,19.10,2,M,1,0,3
2006,11,Egresado,Titulado,556,659,1215,1,CENTRO DE ENSEÑANZA TECNICA Y SUPERIOR *10027,2,2,ENSENADA,BAJA CALIFORNIA,2,81,2,0,0,1,7.63,19.76,2,M,1,0,3
2006,10,Egresado,Titulado,565,695,1260,2,PREPARATORIA REGIONAL DE SAN MARTIN HIDALGO * 65322,1,2,SAN MARTIN HIDALGO,JALISCO,15,97,3,35,35,2,9.38,17.94,1,M,1,0,3
2006,10,Egresado,Titulado,582,668,1250,2,UNIVERSIDAD DE COLIMA BACHILLERATO TECNICO # 4  *9382,1,2,COLIMA,COLIMA,9,91,3,0,30,2,9.13,18.73,1,M,1,0,3
2006,9,Egresado,Titulado,472,542,1014,1,INSTITUTO DE ESTUDIOS SUPERIORES DE LOS MOCHIS *10324,2,2,LOS MOCHIS,SINALOA,25,75,1,10,0,2,9.00,19.34,2,M,1,0,3
2006,13,Egresado,Titulado,0,0,0,3,VASCO DE QUIROGA *10111,2,2,LA PIEDAD,MICHOACAN,16,73,1,0,0,1,7.63,19.29,2,M,1,0,0
2006,11,Egresado,Titulado,632,770,1402,2,RESOLUCION DE REVALIDACION *10101,1,1,ZAPOPAN,JALISCO,15,80,2,0,0,1,7.88,20.91,2,M,1,0,3
2006,11,Baja,Pendiente,573,505,1078,1,PREPARATORIA LA PAZ *10199,2,1,GUADALAJARA,JALISCO,15,76,1,0,0,1,6.00,21.12,3,M,1,1,1
2006,7,Baja,Pendiente,733,720,1453,2,COLEGIO REFORMA *10216,2,1,GUADALAJARA,JALISCO,15,78,1,45,35,2,9.22,21.35,3,F,2,1,1
2006,10,Baja,Pendiente,565,770,1335,2,I.T.E.S.M. CAMPUS GUADALAJARA *10072,2,1,GUADALAJARA,JALISCO,15,84,2,0,0,1,8.78,18.07,1,M,1,1,1
2007,15,Egresado,Titulado,511,695,1206,1,COLEGIO ANAHUAC *10081,2,1,ZAPOPAN,JALISCO,15,66,1,0,0,1,7.40,18.99,2,M,1,0,0
2007,14,Egresado,Titulado,586,621,1207,1,INSTITUTO DE CIENCIAS *10059,2,1,GUADALAJARA,JALISCO,15,74,1,20,30,2,7.86,19.63,2,M,1,0,0
2007,11,Egresado,Titulado,533,663,1196,1,UNIVERSIDAD DE GUADALAJARA ESCUELA PREPARATORIA NO. 7 *10220,1,1,GUADALAJARA,JALISCO,15,70,1,30,35,2,7.71,21.99,3,M,1,0,3
2007,10,Egresado,Titulado,565,650,1215,1,INSTITUTO DE CIENCIAS *10059,2,1,GUADALAJARA,JALISCO,15,82,2,0,0,1,8.57,19.78,2,M,1,0,3
2007,1,Cambio de plan,Pendiente,0,0,0,3,COLEGIO CERVANTES *10067,2,1,GUADALAJARA,JALISCO,15,89,2,0,0,1,9.13,20.03,2,F,2,1,2
2007,9,Egresado,Titulado,0,0,0,3,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE * 36541,2,1,TLAQUEPAQUE,JALISCO,15,96,3,0,0,1,9.25,19.12,2,F,2,0,3
2007,12,Egresado,Titulado,556,745,1301,2,CAMPOVERDE MANZANILLO * 200710,2,2,COLIMA,COLIMA,9,77,1,0,0,1,6.63,19.28,2,M,1,0,3
2007,9,Egresado,Titulado,565,526,1091,1,INSTITUTO VALLADOLID PREPARATORIA *10109,2,2,MORELIA,MICHOACAN,16,79,1,0,0,1,8.00,18.36,1,M,1,0,3
2007,9,Egresado,Titulado,661,737,1398,2,AMERICA * 69887,2,2,ZAMORA DE HIDALGO,MICHOACAN,16,86,2,10,0,2,7.75,18.38,1,M,1,0,3
2007,11,Egresado,Titulado,0,0,0,3,COLEGIO CERVANTES *10067,2,1,GUADALAJARA,JALISCO,15,91,3,60,5,2,9.38,18.19,1,M,1,0,3
2007,8,Egresado,Titulado,0,0,0,3,VASCO DE QUIROGA *10111,2,2,LA PIEDAD,MICHOACAN,16,99,3,50,30,2,9.88,17.88,1,M,1,0,3
2007,10,Egresado,Titulado,607,600,1207,1,CENTRO DE ENSEÑANZA TECNICA INDUSTRIAL *10147,1,1,GUADALAJARA,JALISCO,15,83,2,20,40,2,8.38,19.14,2,M,1,0,3
2007,10,Egresado,Titulado,0,0,0,3,CENTRO DE DESARROLLO INTEGRAL ARBOLEDAS * 15211,2,1,ZAPOPAN,JALISCO,15,96,3,0,0,1,9.63,18.08,1,M,1,0,3
2007,6,Cambio de plan,Pendiente,682,779,1461,2,CENTRO DE DESARROLLO INTEGRAL ARBOLEDAS * 15211,2,1,ZAPOPAN,JALISCO,15,82,2,0,0,1,8.88,18.66,1,M,1,1,2
2007,5,Baja,Pendiente,436,579,1015,1,SISTEMA EDUCATIVO NACIONAL *10336,1,1,GUADALAJARA,JALISCO,15,81,2,10,0,2,7.13,20.14,2,M,1,1,1
2007,9,Egresado,Titulado,0,0,0,3,UNIVERSIDAD DE GUADALAJARA ESCUELA PREPARATORIA NO. 5 *10182,1,1,GUADALAJARA,JALISCO,15,93,3,30,35,2,9.13,18.03,1,M,1,0,3
2007,2,Baja,Pendiente,650,737,1387,2,I.T.E.S.M. CAMPUS GUADALAJARA *10072,2,1,GUADALAJARA,JALISCO,15,84,2,0,0,1,7.13,18.53,1,F,2,1,1
2007,11,Egresado,Titulado,0,0,0,3,PREPARATORIA MEXICO *9555,2,2,CIUDAD GUZMAN,JALISCO,15,88,2,0,30,2,7.88,18.56,1,M,1,0,3
2007,15,Baja,Pendiente,0,0,0,3,PREPARATORIA MEXICO *9555,2,2,CIUDAD GUZMAN,JALISCO,15,89,2,0,30,2,7.75,18.07,1,M,1,0,0
